Bee Number,Wing Length (in pixels),Abdmen length (in pixels)),Body length (in pixels)),Could you see pollen baskets?,Could you see the stinger ?,What did the wings look like?,Notes about be (e.g. was the head missing?)
001,584,626,1172,Could not tell (back legs missing),"No, I did NOT see the stinger",Deformed Wings,The bee’s abdomen was separated from the body with 2 legs missing. 
001,808,527,1184,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,abdomen separated
001,727,619,1225,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,The bee was deformed from the head and its body.
001,769,656,1233,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,For my first bee (001) the head and the pollen basket were both separated from its abdomen 
002,718,847,1430,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed Wings,"legs were detached, the bee parts were scattered around"
002,726,552,976,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,one leg was to the side
002,777,647,1237,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
002,761,762,1140,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,One of the legs detached 
002,777,653,1126,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Ends of legs may have been detatched
003,762,394,2038,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
003,780,552,1128,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,
003,781,442,1088,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Deformed Wings,
003,777,330,692,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,Bee was not in pieces. Wings were attached to bee still.
004,627,1332,1671,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,The body and the abdomen were split apart with the wings attached to the front half.
004,608,655,1336,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,It was in two halves
004,843,660,1314,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
004,628,644,1315,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,abdomen was detached
004,758,680,1362,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,abdomen detached from thorax
005,842,721,1217,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
005,819,552,1339,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,Its antennas were missing and looked pretty small compared to the other 2 bees.
005,791/202,808,1342,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,antennae missing
005,735,624,1308,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The bee was fine.
005,855,591,1114,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,The body was fully intact
006,774,752,1268,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,No notes
006,856,592,1189,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,Nothing abnormal
006,1074,778,1361,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,N/A
006,900,672,1299,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
006,807,680,1226,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,No irreuglarities.
007,473,811,1392,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,The 1st bee still have head.
007,507,623,1287,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed Wings,I could not tell if the wings were deformed or that one of the wings was broken off.
007,486,577,2467,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
008,865,528,1125,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,No the head was not missing. The bee looked normal.
008,3191,2095,4847,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,First bee looked normal. It didn't have anything missing. 
008,698,497,1101,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,detached abdomen
008,836,655,1211,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee 8 fully intact
009,720,575,1373,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
009,784,543,985,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,No
009,830,591,3184,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
009,753,683,1519,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
009,812,743,1433,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
010,659,541,1618,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed Wings,
010,710,511,1124,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Everything seemed to be intact.
010,699,494,1166,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
010,689,530,1076,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
010,699,592,1394,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,Nothing strange about this bee
011,801,674,1238,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
011,783,889,1596,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,The head was not missing.
011,790,561,1207,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
011,604,532,1205,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
011,710,553,1211,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
012,791,783,1040,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Nothing seems to be missing.
012,704,507,1000,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,N/A
012,735,538,1303,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NO
012,687,525,1195,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
012,712,507,1136,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
013,633,773,1039,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
013,741,637,1315,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
013,660,652,1230,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
013,707,844,1645,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"intact, missing stinger"
013,12,9,6,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No abnormalities 
014,732,1015,1240,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,Looked like a normal bee
014,797,596,1147,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Nothing seemed to be missing on this bee
014,718,523,1102,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
014,772,702,1531,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,N/A
014,762,553,1091,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
015,809,624,1613,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,3 legs
015,742,565,1209,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
015,790,518,1132,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Nothing seems abnormal when observing bee number 015.
015,820,511,1207,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
015,784,558,1176,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Some of the antennae might be missing and bee is mostly frozen.
016,697160,579,1158,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
016,2876,2075,4630,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,It was hard to tell how many legs it had.
016,843,727,1286,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,"No, head was attached"
016,813,724,1216,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
016,853,602,1264,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,N/A
017,831,558,1000,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,the head was attached
017,857,527,1218,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
017,836,663,1323,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
017,857,511,1184,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,There was slight damage to the thorax. It looked like there was a chunk taken out of the bee
017,846,549,1160,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
018,672,853,1000,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
018,793,518,1005,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
018,779,455,972,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing out of the ordinary it looked like a normal bee
018,120,45,12331,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc).",Normal wings,its left leg was in the way of the stinger. 
018,740,501,1106,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
019,751,627,1008,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee looked normal
019,720,518,1043,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"No, it is a complete bee."
019,716,490,930,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NA
019,722,516,1047,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
019,677,468,987,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
020,720,471,1120,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
020,767,581,1110,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,couldn’t see the stinger or all of the legs
020,715,729,1396,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
020,705,677,1347,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,none
020,706,550,1107,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
021,822,718,1457,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
021,838,576,1169,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
021,820,727,1310,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
021,783,535,1308,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
021,756,987,1300,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,It was not missing any head just couldn't see stinger
022,715,608,1343,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
022,697,602,1286,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,There is no visible stinger 
022,657,586,1290,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
022,776,576,1237,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Regular Bee
022,730,609,1257,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,no
023,743,432,946,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,Relatively normal bee
023,777,847,1273,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Tongue was sticking out
023,698,548,1003,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
023,775,642,1020,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,no
024,785,570,1255,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Looked fine
024,784,483,1301,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
024,845,574,1260,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
025,554,646,1263,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Stinger could not be seen
025,803,637,1415,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,intact
025,648,972,1444,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Deformed wings,This bee was slightly more normal looking than bee 001. It was hard to see where the pollen basket was located.
025,786,661,1446,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No missing/separated parts for this bee (025)
026,775,637,1362,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,well kept and in tact; all body parts there
026,807,754,1392,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
026,822,661,1354,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
026,817,634,1390,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
026,823,645,1658,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Tongue sticking out
027,760,469,1523,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
027,698,587,1121,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
027,669,542,941,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,
027,697,557,1061,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Body of bee was still intact. Nothing notable.
028,844,871,1315,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Deformed wings,The bee looks very curled up and shriveled. It also looks moldy.
028,524,531,1098,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
028,779,582,1043,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
028,530,560,1181,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee was fully intact besides the stinger.
028,587,545,1196,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,one wing looks longer than the other (possibly due to paralax effect and/or depth)
029,946,828,1119,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
029,1020,783,1449,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"The bee seems to be entirely intact, but has smaller looking antennas."
029,898,579,1182,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
029,618,585,1220,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The bee was fine again.
029,1267,939,2244,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The bee was fully intact.
029,890,572,1131,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,"It was hard to identify the pollen basket on bee 29. However, it was easy to measure it's body parts because it was still in tact. "
030,749,714,1315,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,No notes
030,788,687,1168,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing abnormal
030,866,789,1399,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
030,764,687,1289,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
030,869,710,1202,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,Nothing worth mentioning.
031,650,690,1106,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,The 2nd bee still have head.
031,715,608,1239,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,
031,786,534,1809,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,
032,661,559,1185,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,The head is missing from the body; it is detached.
032,2449,1228,3063,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Stinger and Antennas were missing.
032,633,493,N/A,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,detached head
032,848,631,1592,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Head fully detached
033,669,556,1471,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The abdomen was detached from the rest of the body
033,669,554,788,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,The abdomen was separated from the body
033,745,569,2029,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
033,709,540,1128,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee was broken in to 2 parts.
033,708,637,1388,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,the body was split into two 
034,794,761,1112,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
034,779,656,1205,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Everything was intact.
034,768,526,1045,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
034,717,466,1101,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
